# Time-averaged data for fix fxrg
# TimeStep c_rad
0 212.193
100000 83.2549
200000 66.225
300000 59.7092
400000 51.7927
500000 38.8565
600000 36.0969
700000 39.2838
800000 51.4223
900000 51.9303
1000000 39.1013
1100000 38.1124
1200000 29.6082
1300000 41.5219
1400000 42.5142
1500000 36.4687
1600000 35.7444
1700000 28.9414
1800000 52.7803
1900000 37.6166
2000000 24.4391
2100000 43.1874
2200000 66.6978
2300000 63.1053
2400000 58.4829
2500000 46.1417
2600000 50.644
2700000 52.4418
2800000 51.3223
2900000 50.7995
3000000 36.7971
3100000 27.8526
3200000 28.1074
3300000 43.7471
3400000 37.6716
3500000 26.8576
3600000 32.5298
3700000 40.9778
3800000 30.3959
3900000 33.9254
4000000 30.8534
4100000 30.0622
4200000 30.2419
4300000 36.6926
4400000 35.757
4500000 42.732
4600000 44.1955
4700000 40.4119
4800000 40.699
4900000 35.9352
5000000 42.8699
