# Time-averaged data for fix fxrg
# TimeStep c_rad
0 127.006
100000 32.8552
200000 24.884
300000 30.387
400000 28.6694
500000 30.7234
600000 28.1094
700000 22.0803
800000 26.7785
900000 35.314
1000000 36.9914
1100000 29.7889
1200000 28.1649
1300000 34.7652
1400000 28.0138
1500000 28.8459
1600000 27.0939
1700000 37.0847
1800000 21.8895
1900000 36.9805
2000000 21.8942
2100000 23.2253
2200000 31.8399
2300000 25.417
2400000 23.9468
2500000 27.9637
2600000 24.1851
2700000 35.0727
2800000 27.3617
2900000 28.5311
3000000 17.6779
3100000 29.9648
3200000 42.0617
3300000 30.1692
3400000 27.9149
3500000 27.0707
3600000 25.7494
3700000 36.1874
3800000 21.6335
3900000 35.8818
4000000 25.6497
4100000 27.8078
4200000 30.9413
4300000 30.4651
4400000 27.3837
4500000 18.9816
4600000 36.8034
4700000 34.1629
4800000 27.6089
4900000 29.0401
5000000 32.5311
