# Time-averaged data for fix fxrg
# TimeStep c_rad
500000 20.2313
600000 24.2313
700000 26.5181
800000 22.7286
900000 26.971
1000000 19.8174
1100000 26.5107
1200000 20.8671
1300000 18.6562
1400000 29.0406
1500000 25.4579
1600000 19.8516
1700000 22.3889
1800000 19.2972
1900000 24.5027
2000000 19.3626
2100000 19.5491
2200000 22.4841
2300000 31.7485
2400000 29.7297
2500000 20.7996
2600000 22.8227
2700000 23.6059
2800000 23.4901
2900000 18.071
3000000 16.634
3100000 16.3395
3200000 21.9766
3300000 23.5253
3400000 27.1939
3500000 21.7565
3600000 24.303
3700000 24.859
3800000 18.6145
3900000 17.4398
4000000 22.4939
4100000 21.5024
4200000 26.1422
4300000 29.3588
4400000 28.0909
4500000 22.8738
4600000 23.9885
4700000 22.5197
4800000 18.6191
4900000 18.4268
5000000 28.0788
5100000 19.0873
5200000 20.6844
5300000 18.5015
5400000 20.4102
5500000 27.5501
5600000 17.005
5700000 23.522
5800000 27.521
5900000 18.5707
6000000 25.0026
6100000 24.8588
6200000 26.0626
6300000 23.6976
6400000 25.4165
6500000 19.5283
6600000 26.2212
6700000 26.5621
6800000 19.7524
6900000 24.4053
7000000 29.458
7100000 17.7698
7200000 19.1524
7300000 21.4236
7400000 28.5086
7500000 21.9107
7600000 24.2867
7700000 16.5185
7800000 26.4431
7900000 18.4312
8000000 27.4588
8100000 26.0052
8200000 20.3438
8300000 18.1429
8400000 13.3523
8500000 23.1183
8600000 20.0432
8700000 21.657
8800000 15.8663
8900000 15.7093
9000000 20.0717
9100000 17.1529
9200000 23.8382
9300000 17.1867
9400000 23.689
9500000 25.8801
9600000 18.6976
9700000 17.9068
9800000 18.4321
9900000 23.4001
10000000 15.5428
10100000 17.5233
10200000 18.1478
10300000 29.4917
10400000 25.5308
10500000 16.2514
10600000 20.7604
10700000 24.3753
10800000 19.8808
10900000 22.536
11000000 14.6022
11100000 21.902
11200000 19.604
11300000 25.0264
11400000 23.4315
11500000 25.0804
11600000 21.7826
11700000 17.8491
11800000 20.6042
11900000 24.1004
12000000 18.4505
12100000 24.7498
12200000 20.2401
12300000 15.4838
12400000 23.9705
12500000 16.9464
12600000 20.439
12700000 24.1905
12800000 20.0889
12900000 18.1205
13000000 26.7692
13100000 29.6863
13200000 22.6349
13300000 20.5359
13400000 23.8735
13500000 25.0839
13600000 23.7191
13700000 14.5505
13800000 27.8647
13900000 19.593
14000000 21.1747
14100000 23.2845
14200000 16.6718
14300000 18.3712
14400000 24.5452
14500000 20.9103
14600000 25.5893
14700000 23.0003
14800000 26.2854
14900000 26.0325
15000000 19.0873
15100000 22.0124
15200000 19.0754
15300000 25.5063
15400000 16.6647
15500000 32.6603
