# Time-averaged data for fix fxrg
# TimeStep c_rad
0 105.555
100000 22.811
200000 27.7933
300000 26.3358
400000 23.8792
500000 29.5912
600000 20.0131
700000 29.3972
800000 25.5452
900000 22.0359
1000000 19.7161
1100000 31.8775
1200000 32.795
1300000 21.6286
1400000 20.1344
1500000 24.4372
1600000 29.6141
1700000 18.532
1800000 22.4475
1900000 25.6856
2000000 26.757
2100000 17.095
2200000 20.6982
2300000 24.9387
2400000 18.2755
2500000 22.6767
2600000 28.4172
2700000 32.2875
2800000 35.5655
2900000 28.4665
3000000 24.4769
3100000 19.7685
3200000 18.8242
3300000 26.2683
3400000 19.2139
3500000 18.5092
3600000 25.0648
3700000 29.0021
3800000 23.6508
3900000 28.3433
4000000 23.3404
4100000 25.2316
4200000 26.8549
4300000 20.1765
4400000 21.4031
4500000 37.3138
4600000 29.2043
4700000 25.3064
4800000 24.9564
4900000 24.6691
5000000 28.1315
