# Time-averaged data for fix fxrg
# TimeStep c_rad
0 112.336
100000 25.275
200000 20.3737
300000 25.7554
400000 24.3608
500000 28.6739
600000 25.4758
700000 23.0868
800000 23.5586
900000 22.6284
1000000 17.7391
1100000 20.4069
1200000 41.3723
1300000 15.0791
1400000 26.8501
1500000 30.0557
1600000 16.7565
1700000 24.4039
1800000 36.2576
1900000 26.8035
2000000 20.8204
2100000 29.6887
2200000 19.673
2300000 17.5354
2400000 28.4736
2500000 26.6982
2600000 30.38
2700000 31.7135
2800000 23.7564
2900000 21.313
3000000 25.7753
3100000 26.2384
3200000 24.6708
3300000 19.5392
3400000 20.8342
3500000 32.0071
3600000 26.8042
3700000 16.9833
3800000 19.4347
3900000 17.9085
4000000 31.8492
4100000 21.2126
4200000 24.6829
4300000 24.3806
4400000 23.8032
4500000 23.2152
4600000 35.753
4700000 21.3914
4800000 20.9662
4900000 44.328
5000000 22.5188
