# Time-averaged data for fix fxrg
# TimeStep c_rad
0 227.435
100000 91.1463
200000 61.6769
300000 60.7493
400000 61.8671
500000 66.6547
600000 51.9048
700000 45.4524
800000 39.3409
900000 37.3547
1000000 30.1089
1100000 36.8896
1200000 48.6758
1300000 39.5569
1400000 42.3159
1500000 52.4179
1600000 49.1606
1700000 36.5846
1800000 38.3308
1900000 42.4079
2000000 57.5911
2100000 48.5261
2200000 57.8228
2300000 49.8769
2400000 59.8045
2500000 74.8526
2600000 55.2601
2700000 52.598
2800000 28.0318
2900000 41.1747
3000000 37.7172
3100000 32.6506
3200000 35.3392
3300000 41.5629
3400000 35.122
3500000 27.4863
3600000 40.4013
3700000 50.6847
3800000 43.6418
3900000 35.1832
4000000 36.8369
4100000 43.5959
4200000 47.4272
4300000 43.6326
4400000 53.2511
4500000 62.4428
4600000 54.4215
4700000 46.1371
4800000 41.038
4900000 38.5446
5000000 36.1358
