# Time-averaged data for fix fxrg
# TimeStep c_rad
500000 16.7042
600000 13.1412
700000 13.493
800000 12.9936
900000 11.9634
1000000 10.5598
1100000 14.2743
1200000 16.4284
1300000 12.3046
1400000 12.5226
1500000 16.8636
1600000 17.2629
1700000 11.1925
1800000 15.7451
1900000 12.5364
2000000 11.3824
2100000 12.8137
2200000 13.5507
2300000 14.0717
2400000 15.0127
2500000 11.1387
2600000 13.337
2700000 11.0399
2800000 15.3549
2900000 11.3713
3000000 13.5782
3100000 11.3945
3200000 11.9359
3300000 14.434
3400000 13.4919
3500000 13.0706
3600000 11.7171
3700000 13.9916
3800000 13.7522
3900000 14.8113
4000000 12.5749
4100000 11.5623
4200000 13.5595
4300000 12.2114
4400000 12.1479
4500000 14.8768
4600000 12.2748
4700000 14.6269
4800000 11.9879
4900000 11.3624
5000000 12.5683
5100000 15.3801
5200000 14.9092
5300000 11.7563
5400000 12.8816
5500000 12.2062
5600000 11.1974
5700000 12.2402
5800000 13.3841
5900000 14.2736
6000000 13.4617
6100000 12.8709
6200000 14.5305
6300000 11.0551
6400000 17.147
6500000 13.6213
6600000 16.9485
6700000 12.9574
6800000 12.2752
6900000 17.3953
7000000 15.0841
7100000 12.3592
7200000 12.0537
7300000 11.4456
7400000 12.9165
7500000 12.017
7600000 10.5626
7700000 11.6011
7800000 11.2727
7900000 11.5044
8000000 13.5727
8100000 13.5761
8200000 15.4713
8300000 11.8958
8400000 15.5089
8500000 11.22
8600000 12.6382
8700000 14.5563
8800000 12.1065
8900000 12.8231
9000000 12.1661
9100000 14.8836
9200000 16.3281
9300000 14.5343
9400000 12.7458
9500000 17.4083
9600000 16.8189
9700000 11.3562
9800000 12.9849
9900000 12.1662
10000000 11.504
10100000 12.2791
10200000 15.3181
10300000 12.1131
10400000 11.1623
10500000 11.4031
10600000 11.5978
10700000 13.596
10800000 11.6511
10900000 13.1236
11000000 11.8354
11100000 12.4223
11200000 11.9302
11300000 11.8206
11400000 15.1558
11500000 12.6138
11600000 11.1991
11700000 12.8179
11800000 15.6382
11900000 11.4998
12000000 12.7064
12100000 12.2844
12200000 13.4143
12300000 12.5003
12400000 14.876
12500000 11.7648
12600000 15.8007
12700000 14.6406
12800000 16.9331
12900000 12.9909
13000000 11.9931
13100000 16.2873
13200000 11.7383
13300000 11.0201
13400000 15.0119
13500000 17.3122
13600000 12.7614
13700000 13.2213
13800000 11.1332
13900000 14.0379
14000000 13.7451
14100000 13.1832
14200000 11.3117
14300000 13.1415
14400000 13.1498
14500000 11.4727
14600000 17.318
14700000 13.6788
14800000 13.08
14900000 15.4816
15000000 11.2117
15100000 12.0252
15200000 12.8437
15300000 12.203
15400000 13.8875
15500000 12.2027
