# Time-averaged data for fix fxrg
# TimeStep c_rad
0 127.006
100000 28.4482
200000 41.1603
300000 27.6686
400000 31.6591
500000 29.9286
600000 34.6964
700000 49.5997
800000 26.6888
900000 29.4467
1000000 32.3954
1100000 26.9959
1200000 39.3088
1300000 39.9979
1400000 28.7843
1500000 31.53
1600000 30.115
1700000 22.4355
1800000 32.1693
1900000 26.1476
2000000 36.0791
2100000 30.4047
2200000 31.3589
2300000 31.6777
2400000 25.0959
2500000 30.0755
2600000 28.22
2700000 46.659
2800000 36.8721
2900000 24.1481
3000000 28.9897
3100000 41.2571
3200000 31.1539
3300000 33.8634
3400000 32.229
3500000 33.5311
3600000 25.5887
3700000 24.5333
3800000 33.4273
3900000 27.5677
4000000 40.5258
4100000 38.2982
4200000 30.3284
4300000 31.5979
4400000 35.0558
4500000 28.8667
4600000 32.898
4700000 38.5351
4800000 33.7413
4900000 38.2401
5000000 37.8208
