# Time-averaged data for fix fxrg
# TimeStep c_rad
500000 27.7796
600000 43.4238
700000 36.8728
800000 31.6652
900000 32.5028
1000000 29.5522
1100000 41.0268
1200000 44.1249
1300000 39.0153
1400000 45.5999
1500000 39.4309
1600000 28.8865
1700000 34.0198
1800000 36.0263
1900000 28.2666
2000000 33.4027
2100000 30.8814
2200000 31.4219
2300000 34.2599
2400000 34.002
2500000 35.3297
2600000 42.0633
2700000 36.445
2800000 45.1201
2900000 39.2219
3000000 34.8443
3100000 43.4435
3200000 30.4642
3300000 30.1782
3400000 28.9416
3500000 38.9643
3600000 25.3445
3700000 37.38
3800000 42.5897
3900000 28.6529
4000000 31.9787
4100000 39.5931
4200000 24.9924
4300000 39.4446
4400000 44.3124
4500000 31.9216
4600000 33.4959
4700000 26.7938
4800000 25.6365
4900000 44.3042
5000000 23.7713
5100000 33.9033
5200000 35.6966
5300000 28.9615
5400000 34.2436
5500000 38.8587
5600000 30.4049
5700000 36.0384
5800000 29.6509
5900000 32.9198
6000000 45.4604
6100000 31.8696
6200000 35.084
6300000 41.4812
6400000 45.3906
6500000 37.2742
6600000 38.0717
6700000 38.103
6800000 34.7631
6900000 36.3588
7000000 28.5694
7100000 39.0933
7200000 28.7223
7300000 22.3529
7400000 26.9074
7500000 42.6325
7600000 30.3106
7700000 36.6967
7800000 30.5018
7900000 40.3482
8000000 38.306
8100000 34.5888
8200000 36.0738
8300000 36.0531
8400000 38.0933
8500000 40.7162
8600000 32.5295
8700000 38.0033
8800000 29.3483
8900000 35.3729
9000000 40.2479
9100000 35.165
9200000 28.1683
9300000 27.5465
9400000 18.0888
9500000 41.9151
9600000 31.5299
9700000 36.0287
9800000 33.2171
9900000 21.9763
10000000 28.5212
10100000 28.2446
10200000 28.8674
10300000 29.6492
10400000 40.3131
10500000 27.2068
10600000 34.4609
10700000 41.3842
10800000 37.0846
10900000 38.9111
11000000 37.3793
11100000 35.1213
11200000 37.3458
11300000 32.9223
11400000 40.0433
11500000 40.3647
11600000 32.9489
11700000 30.8617
11800000 26.2617
11900000 45.165
12000000 36.7792
12100000 27.0152
12200000 32.8999
12300000 35.9675
12400000 29.3839
12500000 40.5
12600000 26.2837
12700000 41.1338
12800000 35.1224
12900000 31.4272
13000000 29.5439
13100000 40.013
13200000 41.5587
13300000 40.8445
13400000 30.3809
13500000 30.1647
13600000 22.8521
13700000 38.9934
13800000 42.6087
13900000 33.9816
14000000 41.371
14100000 34.0127
14200000 31.2336
14300000 27.879
14400000 40.0105
14500000 37.2969
14600000 42.5214
14700000 36.0112
14800000 42.4782
14900000 27.045
15000000 27.8376
15100000 35.7197
15200000 28.6781
15300000 36.8452
15400000 34.897
15500000 25.5151
